Country code,Country,Total commitment score,Total vulnerability score,Total policies and action score,Number of indicators available,Aggregated data,,,,
0,Afghanistan,-1,,,1,-1,,,,
1,Albania,-1,-0.933333333,-0.166666667,3,-0.7,,,,
2,Algeria,-1,-1,0.5,3,-0.5,,,,
3,Andorra,-1,,,1,-1,,,,
4,Angola,4.0,-1,0.166666667,3,-0.277777778,,,,
5,Antigua and Barbuda,-1,-0.6,1.5,3,-0.033333333,,,,
6,Argentina,-1,-0.933333333,-0.25,3,-0.727777778,,,,
7,Armenia,-1,,,1,-1,,,,
8,Australia,-1,-1,0.416666667,3,-0.527777778,,,,
9,Austria,-1,,-1.5,2,-1.25,,,,
10,Azerbaijan,-1,,0,2,-0.5,,,,
11,The Bahamas,1.0,-1.666666667,-0.25,3,-0.638888889,,,,
12,Bangladesh,1.0,-1.266666667,1,3,-0.088888889,,,,
13,Barbados,2.0,-1.333333333,0.5,3,-0.277777778,,,,
14,Belarus,-1,,0.1428571429,2,-0.5,,,,
15,Belgium,-1,-0.933333333,-0.083333333,3,-0.672222222,,,,
16,Belize,3.0,-1.266666667,0.833333333,3,-0.144444444,,,,
17,Benin,3.0,-1.333333333,1.5,3,0.055555556,,,,
18,Bhutan,-1,,1,2,0,,,,
19,Bolivia,-1,0,0,3,-0.333333333,,,,
20,Bosnia and Herzegovina,-1,,0.5,2,-0.25,,,,
21,Botswana,-1,,,1,-1,,,,
22,Brazil,-1,-0.933333333,0.125,3,-0.602777778,,,,
23,Brunei,-1,-1,1,3,-0.333333333,,,,
24,Bulgaria,-1,-0.933333333,-0.666666667,3,-0.866666667,,,,
25,Burkina Faso,-1,,,1,-1,,,,
26,Burundi,-1,,,1,-1,,,,
27,Cambodia,1.0,-1,0.5,3,-0.166666667,,,,
28,Cameroon,3.0,-1.333333333,,2,-0.666666667,,,,
29,Canada,2.0,-0.933333333,0.08,3,-0.283333333,,,,
30,Cabo Verde,-1,-1.6,,2,-1.3,,,,
31,Central African Republic,-1,,,1,-1,,,,
32,Chad,1.0,,,1,0,,,,
33,Chile,-1,-0.933333333,0.708333333,3,-0.408333333,,,,
34,China,1.0,-0.633333333,-1,3,-0.544444444,,,,
35,Columbia,-1,-0.933333333,0.708333333,3,-0.408333333,,,,
36,Comoros,-1,-0.933333333,,2,-0.966666667,,,,
37,Cook Islands,-1,,2.333333333,2,0.666666667,,,,
38,Costa Rica,1.0,-0.933333333,0.125,3,-0.269444444,,,,
39,Ivory Coast,1.0,-1.266666667,0,3,-0.422222222,,,,
40,Croatia,-1,-0.933333333,-0.041666667,3,-0.658333333,,,,
41,Cuba,1.0,-0.933333333,2,3,0.355555556,,,,
42,Cyprus,-1,-0.933333333,-0.333333333,3,-0.755555556,,,,
43,Czechia,-1,,,1,-1,,,,
44,Democratic Republic of the Congo,1.0,-0.933333333,,2,-0.466666667,,,,
45,Denmark,-1,-0.933333333,-0.375,3,-0.769444444,,,,
46,Djibouti,4.0,-1,,2,-0.5,,,,
47,Dominica,-1,-0.95,0.166666667,3,-0.594444444,,,,
48,Dominican Republic,1.0,-0.933333333,1.00,3,0.022222222,,,,
49,Ecuador,-1,-0.933333333,0.5,3,-0.477777778,,,,
50,Egypt,1.0,-0.933333333,,2,-0.466666667,,,,
51,El Salvador,-1,-1,1,3,-0.333333333,,,,
52,Equatorial Guinea,-1,-0.933333333,1.166666667,3,-0.255555556,,,,
53,Eritrea,2.0,-0.3,1,3,0.233333333,,,,
54,Estonia,-1,,-0.208333333,2,-0.604166667,,,,
55,Eswatini,-1,,,1,-1,,,,
56,Ethiopia,-1,,,1,-1,,,,
57,EUU,-1,,,1,-1,,,,
58,Fiji,2.0,-1,0.666666667,3,-0.111111111,,,,
59,Finland,-1,-0.933333333,-0.083333333,3,-0.672222222,,,,
60,France,-1,-0.933333333,-0.125,3,-0.686111111,,,,
61,Gabon,1.0,-1,0.5,3,-0.166666667,,,,
62,Gambia,1.0,-1,2,3,0.333333333,,,,
63,Georgia,1.0,-1,0.33,3,-0.222222222,,,,
64,Germany,-1,-0.933333333,-0.125,3,-0.686111111,,,,
65,Ghana,-1,-1.9,0.5,3,-0.8,,,,
66,Greece,-1,-0.933333333,-0.375,3,-0.769444444,,,,
67,Grenada,1.0,-1,1,3,0,,,,
68,Iran,-1,,,1,-1,,,,
69,Guatemala,1.0,-0.933333333,1.333333333,3,0.133333333,,,,
70,Guinea,2.0,-1,0,3,-0.333333333,,,,
71,Guinea-Bissau,2.0,-1.666666667,-0.5,3,-0.722222222,,,,
72,Guyane,1.0,-1,0.5,3,-0.166666667,,,,
73,Haiti,1.0,-1.333333333,1.5,3,0.055555556,,,,
74,Honduras,-1,-1,1,3,-0.333333333,,,,
75,Hungary,-1,,,1,-1,,,,
76,Iceland,-1,-1.6,0.166666667,3,-0.811111111,,,,
77,India,3.0,-0.933333333,-0.375,3,-0.436111111,,,,
78,Indonesia,1.0,-1.6,-0.541666667,3,-0.713888889,,,,
79,Iraq,-1,-1,0.5,3,-0.5,,,,
80,Ireland,-1,-0.933333333,-0.541666667,3,-0.825,,,,
81,Israel,-1,-1,-0.50,3,-0.833333333,,,,
82,Italy,-1,-0.933333333,-0.541666667,3,-0.825,,,,
83,Jamaica,-1,-1,1,3,-0.333333333,,,,
84,Japan,-1,-0.933333333,-0.208333333,3,-0.713888889,,,,
85,Jordania,-1,-1,1,3,-0.333333333,,,,
86,Kazakhstan,-1,,,1,-1,,,,
87,Kenya,-1,-1,0.5,3,-0.5,,,,
88,Kiribati,-1,-3,0,3,-1.333333333,,,,
